UNIQUE_id,UNIQUE_num_records,ELIGIBLE_consent,CONNECTION_social_days_friends_p7d_grouped,LONELY_direct
cscs_00106,3,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00106,3,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_00106,3,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_00107,1,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_00109,1,Yes,Some days (1 - 3 days),NA
cscs_00111,1,Yes,None (0 Days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00113,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00114,3,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_00114,3,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00114,3,Yes,None (0 Days),"None of the time (e.g., 0 days)"
cscs_00115,1,Yes,Some days (1 - 3 days),All of the time (e.g. 5-7 days)]
cscs_00116,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_00117,1,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_00118,1,Yes,NA,NA
cscs_00119,1,Yes,None (0 Days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00121,1,Yes,NA,NA
cscs_00122,1,Yes,None (0 Days),"None of the time (e.g., 0 days)"
cscs_00123,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_00124,1,Yes,Some days (1 - 3 days),NA
cscs_00125,1,Yes,NA,NA
cscs_00126,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_00127,1,Yes,NA,NA
cscs_00128,1,Yes,NA,NA
cscs_00129,1,Yes,Some days (1 - 3 days),All of the time (e.g. 5-7 days)]
cscs_00130,1,Yes,Presented but no response,Some or a little of the time (e.g. 1-2 days)
cscs_00131,1,Yes,Every day (7 days),Rarely (e.g. less than 1 day)
cscs_00133,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_00134,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00135,1,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_00136,1,Yes,Some days (1 - 3 days),All of the time (e.g. 5-7 days)]
cscs_00137,1,Yes,Most days (4 - 6 days),"None of the time (e.g., 0 days)"
cscs_00138,1,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_00139,1,Yes,Every day (7 days),Some or a little of the time (e.g. 1-2 days)
cscs_00140,1,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00141,1,Yes,Every day (7 days),Rarely (e.g. less than 1 day)
cscs_00142,1,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_00143,1,Yes,NA,NA
cscs_00144,1,Yes,None (0 Days),Some or a little of the time (e.g. 1-2 days)
cscs_00145,1,Yes,NA,Some or a little of the time (e.g. 1-2 days)
cscs_00146,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00148,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00150,1,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_00151,1,Yes,Some days (1 - 3 days),NA
cscs_00152,1,Yes,None (0 Days),Rarely (e.g. less than 1 day)
cscs_00153,1,Yes,NA,NA
cscs_00154,1,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00155,1,Yes,Most days (4 - 6 days),"None of the time (e.g., 0 days)"
cscs_00157,1,Yes,Every day (7 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00158,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00160,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00161,1,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00162,1,Yes,NA,Some or a little of the time (e.g. 1-2 days)
cscs_00164,1,Yes,None (0 Days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00165,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_00166,1,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_00167,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_00168,1,Yes,Most days (4 - 6 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00169,1,Yes,NA,NA
cscs_00170,1,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_00171,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_00172,1,Yes,Every day (7 days),"None of the time (e.g., 0 days)"
cscs_00173,1,Yes,NA,NA
cscs_00174,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_00175,1,Yes,None (0 Days),All of the time (e.g. 5-7 days)]
cscs_00176,1,Yes,NA,NA
cscs_00177,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_00178,1,Yes,NA,NA
cscs_00179,1,Yes,None (0 Days),All of the time (e.g. 5-7 days)]
cscs_00183,1,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00184,1,Yes,Some days (1 - 3 days),NA
cscs_00185,1,Yes,NA,NA
cscs_00186,1,Yes,Some days (1 - 3 days),All of the time (e.g. 5-7 days)]
cscs_00187,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00188,1,Yes,Most days (4 - 6 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00189,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00190,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00191,1,Yes,None (0 Days),"None of the time (e.g., 0 days)"
cscs_00192,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_00193,1,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_00194,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00195,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_00196,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00198,3,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_00198,3,Yes,Every day (7 days),Some or a little of the time (e.g. 1-2 days)
cscs_00199,1,Yes,None (0 Days),NA
cscs_00200,1,Yes,NA,NA
cscs_00201,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00202,1,Yes,None (0 Days),Some or a little of the time (e.g. 1-2 days)
cscs_00203,1,Yes,NA,NA
cscs_00204,3,Yes,Most days (4 - 6 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00204,3,Yes,Some days (1 - 3 days),All of the time (e.g. 5-7 days)]
cscs_00204,3,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00206,3,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00206,3,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00206,3,Yes,None (0 Days),Some or a little of the time (e.g. 1-2 days)
cscs_00207,1,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_00208,1,Yes,NA,NA
cscs_00209,1,Yes,Most days (4 - 6 days),All of the time (e.g. 5-7 days)]
cscs_00210,1,Yes,Most days (4 - 6 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00211,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00212,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00213,1,Yes,NA,NA
cscs_00214,1,Yes,NA,NA
cscs_00215,2,Yes,None (0 Days),Rarely (e.g. less than 1 day)
cscs_00215,2,Yes,None (0 Days),Rarely (e.g. less than 1 day)
cscs_00216,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00217,1,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_00218,1,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00219,1,Yes,NA,NA
cscs_00220,1,Yes,Most days (4 - 6 days),"None of the time (e.g., 0 days)"
cscs_00221,1,Yes,NA,NA
cscs_00222,1,Yes,Some days (1 - 3 days),NA
cscs_00224,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00225,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_00226,1,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_00227,1,Yes,NA,NA
cscs_00228,1,Yes,Most days (4 - 6 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00229,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00230,1,Yes,Some days (1 - 3 days),All of the time (e.g. 5-7 days)]
cscs_00231,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_00232,1,Yes,NA,NA
cscs_00233,1,Yes,NA,NA
cscs_00234,1,Yes,Every day (7 days),Some or a little of the time (e.g. 1-2 days)
cscs_00235,1,Yes,None (0 Days),"None of the time (e.g., 0 days)"
cscs_00236,1,Yes,Some days (1 - 3 days),All of the time (e.g. 5-7 days)]
cscs_00237,1,Yes,Every day (7 days),Some or a little of the time (e.g. 1-2 days)
cscs_00238,1,Yes,NA,NA
cscs_00239,1,Yes,NA,NA
cscs_00240,1,Yes,Most days (4 - 6 days),"None of the time (e.g., 0 days)"
cscs_00241,1,Yes,None (0 Days),Rarely (e.g. less than 1 day)
cscs_00242,1,Yes,Most days (4 - 6 days),"None of the time (e.g., 0 days)"
cscs_00243,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00244,1,Yes,None (0 Days),All of the time (e.g. 5-7 days)]
cscs_00245,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_00246,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00247,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00248,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_00249,1,Yes,NA,Presented but no response
cscs_00250,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_00251,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00252,1,Yes,NA,NA
cscs_00253,2,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_00253,2,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_00254,1,Yes,None (0 Days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00255,1,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00256,1,Yes,Most days (4 - 6 days),"None of the time (e.g., 0 days)"
cscs_00257,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_00258,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00259,1,Yes,NA,NA
cscs_00261,1,Yes,Some days (1 - 3 days),All of the time (e.g. 5-7 days)]
cscs_00262,1,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00263,1,Yes,None (0 Days),"None of the time (e.g., 0 days)"
cscs_00264,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00265,1,Yes,None (0 Days),All of the time (e.g. 5-7 days)]
cscs_00267,1,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_00268,1,Yes,NA,NA
cscs_00269,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_00270,1,Yes,Every day (7 days),Rarely (e.g. less than 1 day)
cscs_00271,1,Yes,Some days (1 - 3 days),NA
cscs_00272,1,Yes,NA,NA
cscs_00273,1,Yes,Most days (4 - 6 days),"None of the time (e.g., 0 days)"
cscs_00274,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_00276,1,Yes,NA,NA
cscs_00277,1,Yes,Every day (7 days),"None of the time (e.g., 0 days)"
cscs_00279,1,Yes,NA,NA
cscs_00280,1,Yes,Some days (1 - 3 days),NA
cscs_00283,1,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_00284,1,Yes,NA,NA
cscs_00285,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00286,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00287,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00288,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_00289,1,Yes,NA,NA
cscs_00290,1,Yes,NA,NA
cscs_00291,1,Yes,Every day (7 days),"None of the time (e.g., 0 days)"
cscs_00292,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00293,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00294,1,Yes,Every day (7 days),NA
cscs_00295,1,Yes,NA,NA
cscs_00296,1,Yes,Some days (1 - 3 days),NA
cscs_00297,1,Yes,Most days (4 - 6 days),"None of the time (e.g., 0 days)"
cscs_00298,1,Yes,None (0 Days),All of the time (e.g. 5-7 days)]
cscs_00299,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00300,1,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_00301,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00303,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00304,1,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_00305,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00307,1,Yes,NA,NA
cscs_00308,1,Yes,NA,NA
cscs_00309,1,Yes,NA,NA
cscs_00310,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00311,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00312,1,Yes,NA,NA
cscs_00313,1,Yes,Some days (1 - 3 days),NA
cscs_00314,1,Yes,None (0 Days),"None of the time (e.g., 0 days)"
cscs_00316,1,Yes,Most days (4 - 6 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00317,1,Yes,NA,NA
cscs_00318,1,Yes,Some days (1 - 3 days),All of the time (e.g. 5-7 days)]
cscs_00319,1,Yes,Every day (7 days),Rarely (e.g. less than 1 day)
cscs_00320,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_00321,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00323,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00325,1,Yes,Every day (7 days),"None of the time (e.g., 0 days)"
cscs_00326,1,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00327,1,Yes,NA,NA
cscs_00328,1,Yes,None (0 Days),"None of the time (e.g., 0 days)"
cscs_00329,1,Yes,None (0 Days),All of the time (e.g. 5-7 days)]
cscs_00330,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00332,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00333,1,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00334,1,Yes,NA,NA
cscs_00335,1,Yes,None (0 Days),"None of the time (e.g., 0 days)"
cscs_00336,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_00337,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00338,1,Yes,NA,NA
cscs_00339,3,Yes,None (0 Days),Some or a little of the time (e.g. 1-2 days)
cscs_00339,3,Yes,NA,NA
cscs_00339,3,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_00340,1,Yes,Some days (1 - 3 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00341,1,Yes,None (0 Days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00342,1,Yes,NA,NA
cscs_00343,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00344,1,Yes,Most days (4 - 6 days),"None of the time (e.g., 0 days)"
cscs_00345,1,Yes,NA,NA
cscs_00346,1,Yes,Most days (4 - 6 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00347,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_00349,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00350,1,Yes,None (0 Days),Rarely (e.g. less than 1 day)
cscs_00351,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_00352,1,Yes,Most days (4 - 6 days),Rarely (e.g. less than 1 day)
cscs_00353,1,Yes,Every day (7 days),Some or a little of the time (e.g. 1-2 days)
cscs_00354,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00355,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00356,1,Yes,None (0 Days),Rarely (e.g. less than 1 day)
cscs_00357,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00358,1,Yes,Every day (7 days),"None of the time (e.g., 0 days)"
cscs_00359,1,Yes,None (0 Days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00360,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00363,1,Yes,Most days (4 - 6 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00365,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00366,1,Yes,NA,NA
cscs_00367,1,Yes,Every day (7 days),All of the time (e.g. 5-7 days)]
cscs_00368,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_00369,1,Yes,None (0 Days),All of the time (e.g. 5-7 days)]
cscs_00370,1,Yes,NA,NA
cscs_00371,1,Yes,Most days (4 - 6 days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00372,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_00373,1,Yes,Some days (1 - 3 days),"None of the time (e.g., 0 days)"
cscs_00374,1,Yes,Some days (1 - 3 days),Some or a little of the time (e.g. 1-2 days)
cscs_00375,1,Yes,Some days (1 - 3 days),Rarely (e.g. less than 1 day)
cscs_00376,1,Yes,NA,NA
cscs_00377,1,Yes,NA,NA
cscs_00378,1,Yes,None (0 Days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00379,1,Yes,Every day (7 days),"None of the time (e.g., 0 days)"
cscs_00380,1,Yes,None (0 Days),Some or a little of the time (e.g. 1-2 days)
cscs_00381,1,Yes,Most days (4 - 6 days),Some or a little of the time (e.g. 1-2 days)
cscs_00382,1,Yes,NA,NA
cscs_00383,1,Yes,None (0 Days),Occasionally or a moderate amount of time (e.g. 3-4 days)
cscs_00384,1,Yes,NA,NA
